City,Cloudiness,Country,Date,Lat,Lng,Humidity,Max Temp,Wind Speed
Mogadishu,0,SO,1583617485,2.04,45.34,80,81.9,15.9
Kattivākkam,40,IN,1583617113,13.22,80.32,83,82.0,3.36
Fortuna,20,US,1583617485,40.6,-124.16,66,54.0,1.92
Villarrica,98,PY,1583617485,-25.75,-56.43,27,90.14,3.49
Slave Lake,90,CA,1583617486,55.28,-114.77,77,6.8,5.82
Palmer,1,US,1583617105,42.16,-72.33,18,44.6,13.87
Patiya,0,BD,1583617486,22.29,91.98,92,61.72,2.13
Hobyo,25,SO,1583617486,5.35,48.53,79,77.43,11.97
Haines Junction,100,CA,1583617486,60.75,-137.51,91,12.04,3.51
Corinth,40,GR,1583617487,37.94,22.96,51,63.0,7.45
Klaksvík,65,FO,1583617050,62.23,-6.59,93,39.2,2.24
Red Bank,1,US,1583617487,40.35,-74.06,20,48.2,13.87
Rovaniemi,90,FI,1583617487,66.5,25.72,92,24.8,9.17
Esil,60,KZ,1583617134,51.96,66.4,71,5.05,13.0
Yayva,100,RU,1583617487,59.33,57.26,99,33.3,6.35
Mayo,1,US,1583617144,38.89,-76.51,36,52.0,12.75
Lafia,1,NG,1583617488,8.48,8.52,18,86.86,3.38
Rokytne,100,UA,1583617488,51.28,27.21,81,44.94,3.96
Vasil'sursk,100,RU,1583617488,56.13,46.01,80,33.62,12.62
Weatherford,1,US,1583617488,32.76,-97.8,41,64.99,14.99
Anloga,89,GH,1583617489,5.79,0.9,72,84.43,13.91
Dukat,0,RU,1583617489,62.55,155.55,63,-10.34,3.96
Marawi,96,PH,1583617107,8.0,124.29,94,73.99,3.0
Lujiang,0,CN,1583617489,31.26,117.28,93,48.2,8.95
Araguaçu,19,BR,1583617489,-12.93,-49.83,82,80.4,2.37
Guia Lopes da Laguna,11,BR,1583617490,-21.46,-56.11,47,86.14,6.26
Catuday,31,PH,1583617490,16.29,119.81,76,79.48,6.78
Zapolyarnyy,45,RU,1583617490,69.42,30.81,79,24.8,20.8
Requena,20,ES,1583617490,39.49,-1.1,62,57.0,3.36
Sisimiut,97,GL,1583617454,66.94,-53.67,96,-6.29,3.13
Port Blair,0,IN,1583617491,11.67,92.75,77,80.13,11.39
Campi Salentina,75,IT,1583617491,40.4,18.02,93,51.8,3.36
Jinka,2,ET,1583617491,5.65,36.65,49,78.31,6.78
Saint-Augustin,4,CA,1583617011,51.23,-58.65,73,24.28,14.79
Oranjestad,20,AW,1583617491,12.52,-70.03,66,84.2,16.11
Jaru,100,BR,1583617199,-10.44,-62.47,93,80.83,3.53
Bathsheba,40,BB,1583617043,13.22,-59.52,65,80.6,16.11
Pemangkat,100,ID,1583617492,1.17,108.97,92,76.37,4.97
Padang,100,ID,1583617043,-0.95,100.35,89,68.68,2.73
Kirovskiy,98,RU,1583617492,45.09,133.51,95,27.45,4.03
Kawalu,100,ID,1583617492,-7.38,108.21,86,71.11,0.94
Kathu,20,TH,1583617493,7.92,98.33,83,78.8,5.5
Nebbi,82,UG,1583617493,2.48,31.09,48,74.62,5.82
Mandera,3,KE,1583617493,3.94,41.87,40,87.53,6.08
Yazd,75,IR,1583617493,31.9,54.37,18,59.0,7.14
Cassilândia,41,BR,1583617493,-19.11,-51.73,74,77.38,3.74
Vila do Maio,68,CV,1583617137,15.13,-23.22,69,73.4,10.29
Mkushi,2,ZM,1583617494,-13.62,29.39,94,61.61,7.74
Vestmannaeyjar,100,IS,1583617494,63.44,-20.27,63,31.03,11.5
Maltahöhe,18,NA,1583617140,-24.83,16.98,23,76.53,7.76
Khorixas,100,NA,1583617084,-20.37,14.97,38,83.73,16.49
Eydhafushi,2,MV,1583617495,5.1,73.07,67,83.25,5.26
Havøysund,100,NO,1583616844,71.0,24.66,69,35.6,17.22
Severo-Yeniseyskiy,100,RU,1583617495,60.37,93.04,75,1.9,12.53
Nuuk,75,GL,1583617097,64.18,-51.72,66,12.2,12.75
Sarlat-la-Canéda,90,FR,1583617496,44.89,1.22,76,50.0,2.24
Gobabis,0,NA,1583617496,-22.45,18.97,72,64.4,2.24
Chhor,0,PK,1583617496,25.52,69.77,41,64.71,8.37
Iqaluit,90,CA,1583616861,63.75,-68.51,77,6.8,23.04
Boali,50,CF,1583617497,4.8,18.13,56,80.44,6.64
Ewo,100,CG,1583617497,-0.87,14.82,96,69.8,3.06
Lufilufi,81,WS,1583617497,-13.87,-171.6,81,81.61,11.52
Kem',0,RU,1583617497,64.96,34.58,91,23.81,7.2
Dubbo,100,AU,1583617497,-32.25,148.62,77,64.4,12.75
Nagorsk,100,RU,1583617498,59.32,50.81,99,33.64,6.22
Pozoblanco,97,ES,1583617498,38.38,-4.85,70,48.2,1.12
Skjervøy,100,NO,1583617063,70.03,20.97,68,35.01,8.25
Cairns,40,AU,1583617498,-16.92,145.77,88,78.8,6.93
Channel-Port aux Basques,100,CA,1583617498,47.57,-59.14,73,28.71,24.58
Teknāf,0,BD,1583617498,20.86,92.31,91,60.12,1.74
Kungurtug,60,RU,1583617499,50.6,97.52,94,-17.52,1.66
Austin,1,US,1583617159,30.27,-97.74,62,64.0,10.29
Spring Hill,1,US,1583617499,28.48,-82.53,28,68.0,10.29
Gladeview,75,US,1583617499,25.84,-80.24,49,73.4,12.75
Kāzerūn,79,IR,1583617499,29.62,51.65,44,58.39,4.88
Yingkou,6,CN,1583617500,40.66,122.23,88,36.07,13.04
Jadu,0,LY,1583617500,31.95,12.03,42,53.01,12.33
St. George's,20,GD,1583617079,12.06,-61.75,69,82.4,16.11
Baker City,90,US,1583617422,44.77,-117.83,69,45.0,14.99
Tilichiki,0,RU,1583617500,60.47,166.1,87,-4.65,5.08
Sajókaza,100,HU,1583617500,48.28,20.58,78,44.6,11.41
Tūkrah,75,LY,1583617501,32.53,20.58,86,59.22,5.41
Partenit,0,UA,1583617501,44.58,34.34,83,49.59,2.77
Auki,76,SB,1583617501,-8.77,160.7,71,84.4,5.44
Chumikan,100,RU,1583617118,54.72,135.31,93,10.0,0.92
Fukuechō,40,JP,1583617080,32.69,128.84,76,53.6,16.11
Bonavista,100,CA,1583617047,48.65,-53.11,87,23.67,14.05
Kaeo,58,NZ,1583617034,-35.1,173.78,80,72.0,5.99
Tegul'det,100,RU,1583617038,57.31,88.17,74,9.28,17.9
Porto Recanati,95,IT,1583617502,43.44,13.66,87,52.0,4.7
Mnogovershinnyy,100,RU,1583617502,53.94,139.92,91,12.94,2.71
Conakry,40,GN,1583617502,9.54,-13.68,83,82.4,6.93
Sycamore,1,US,1583617503,41.99,-88.69,43,53.6,20.8
Yeppoon,40,AU,1583617344,-23.13,150.73,83,77.0,9.17
Smoky Lake,100,CA,1583617503,54.12,-112.47,76,9.0,5.99
Stornoway,100,GB,1583617503,58.21,-6.39,93,48.2,28.86
Makat,95,KZ,1583617503,47.65,53.35,50,32.14,23.09
Port Shepstone,0,ZA,1583617503,-30.74,30.45,92,66.87,7.74
Araouane,67,ML,1583617504,18.9,-3.53,6,75.25,2.26
Leningradskiy,0,RU,1583617049,69.38,178.42,81,-12.62,2.55
Staryy Nadym,98,RU,1583617504,65.61,72.68,91,24.24,13.89
Ürümqi,90,CN,1583617214,43.8,87.6,92,17.6,2.24
Pachelma,100,RU,1583617505,53.24,43.35,83,36.88,14.45
Pāsighāt,82,IN,1583617505,28.07,95.33,86,62.04,1.01
Demba,100,CD,1583617505,-5.51,22.27,80,74.59,3.67
Norman Wells,90,CA,1583617116,65.28,-126.83,64,-4.0,14.99
Flagstaff,20,US,1583617362,35.2,-111.65,37,68.0,24.16
Mamlyutka,96,KZ,1583617505,54.94,68.54,77,21.9,19.73
Kolondiéba,0,ML,1583617506,11.09,-6.89,7,83.19,3.87
Ngong,40,KE,1583617506,-1.36,36.66,82,68.0,6.93
Ibrā’,0,OM,1583617506,22.69,58.53,37,64.65,3.29
Christchurch,35,NZ,1583616910,-43.53,172.63,72,66.0,11.41
Sabang,0,ID,1583617506,5.89,95.32,71,82.83,8.5
Kargil,92,IN,1583617507,34.57,76.1,96,5.27,1.5
San Quintín,99,MX,1583617028,30.48,-115.95,69,59.25,10.09
Sigli,5,ID,1583617507,5.38,95.96,77,80.47,3.06
Bambanglipuro,100,ID,1583616999,-7.95,110.28,87,74.46,5.21
Nhulunbuy,90,AU,1583617507,-12.23,136.77,94,77.0,3.36
Kathmandu,20,NP,1583617306,27.72,85.32,93,44.6,3.36
Taree,90,AU,1583617286,-31.9,152.47,88,66.2,8.05
Matara,0,LK,1583617508,5.95,80.54,89,72.43,6.15
Sambek,100,RU,1583617508,47.74,39.83,81,51.01,11.18
Bubaque,9,GW,1583617508,11.28,-15.83,75,79.54,17.85
General Pico,97,AR,1583617508,-35.66,-63.76,21,98.98,7.85
Caravelas,100,BR,1583617060,-17.71,-39.25,87,77.27,17.54
Muhos,0,FI,1583617509,64.81,25.99,92,26.6,5.82
Sinnamary,100,GF,1583617509,5.38,-52.95,75,80.51,17.83
Sola,1,VU,1583617509,-13.88,167.55,72,84.22,4.29
Valparaíso,0,CL,1583617509,-33.04,-71.63,44,77.0,5.82
Nānākuli,90,US,1583617509,21.39,-158.15,73,80.6,10.29
Guilin,90,CN,1583617485,25.28,110.29,93,60.8,4.47
Robertsport,34,LR,1583617510,6.75,-11.37,84,82.4,11.81
Saint-Pierre,40,RE,1583617510,-21.34,55.48,74,78.8,10.29
San Rafael,2,AR,1583617051,-34.62,-68.33,19,94.39,13.62
Humaitá,100,BR,1583617510,-7.51,-63.02,72,83.08,3.24
Dingle,100,PH,1583616995,11.0,122.67,89,75.16,7.14
El Jícaro,83,GT,1583617511,14.92,-89.9,55,72.25,5.91
Cedral,45,MX,1583617511,23.8,-100.73,28,71.02,14.2
Bagdarin,82,RU,1583617511,54.43,113.6,83,-5.6,5.06
Karlshamn,51,SE,1583617512,56.17,14.86,100,37.4,6.89
Wagga Wagga,40,AU,1583617512,-35.12,147.37,67,62.6,9.17
Alofi,88,NU,1583617064,-19.06,-169.92,73,80.91,3.27
Salta,20,AR,1583616920,-24.79,-65.41,37,89.6,10.29
Egvekinot,0,RU,1583616838,66.32,-179.17,92,-11.63,5.35
Bilibino,44,RU,1583616863,68.05,166.44,92,-19.12,2.35
Rincon,1,US,1583617513,32.3,-81.24,29,60.8,10.29
Port Hawkesbury,100,CA,1583617513,45.62,-61.35,92,26.01,7.0
Smiltene,100,LV,1583617513,57.42,25.9,94,35.01,1.01
Paamiut,100,GL,1583617134,61.99,-49.67,84,12.33,15.39
Hamina,76,FI,1583617514,60.57,27.2,87,32.0,4.7
Grindavik,100,IS,1583617076,63.84,-22.43,54,30.2,12.75
Baykit,100,RU,1583617514,61.67,96.37,97,-10.17,3.22
Muncar,100,ID,1583617514,-8.43,114.33,75,80.26,5.1
Raudeberg,100,NO,1583617111,61.99,5.14,80,41.0,24.16
Solaro,0,IT,1583617514,44.88,9.17,43,53.01,2.24
Kuching,20,MY,1583617515,1.55,110.33,100,75.2,1.12
Michelstadt,14,DE,1583617515,49.67,9.0,86,43.0,4.7
Tura,100,IN,1583617040,25.52,90.22,91,65.25,1.39
Japura,100,ID,1583617091,-0.32,102.35,96,73.89,2.17
Rodino,100,RU,1583617515,52.5,80.25,73,9.73,24.9
Normandin,20,CA,1583617516,48.83,-72.53,47,21.0,4.7
Lata,0,PT,1583617068,40.16,-8.33,76,54.0,1.12
